Review_id,customer_id,product_id,category,brand,Rating,Review_text,satisfaction,review_timestamp,purchase_timestamp,previous_purchases,complaint_ticket,complaint_reason
R0029,C4005,P0678,Accessories,Samsung,5,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,3,No,
R0030,C5658,P0150,Home Decor,Sony,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,6,No,
R0031,C2899,P0708,Footwear,Puma,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,14,No,
R0032,C8734,P0703,Beauty,Samsung,5,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,18,No,
R0033,C2267,P0363,Electronics,Boat,1,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0034,C2528,P0517,Electronics,Zara,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,4,No,
R0035,C4556,P0902,Home Decor,Samsung,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,15,No,
R0036,C4890,P0195,Electronics,Zara,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,Yes,not as described
R0037,C9838,P0187,Accessories,Lakme,4,value for money. Loved it!,Satisfied,54:19.1,54:19.1,3,No,
R0038,C6393,P0177,Electronics,Zara,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,3,No,
R0039,C9792,P0387,Footwear,Lakme,1,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0040,C9433,P0219,Footwear,Nike,5,value for money. Loved it!,Satisfied,54:19.1,54:19.1,5,No,
R0041,C8513,P0913,Beauty,Nike,4,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,10,No,
R0042,C3612,P0590,Clothing,H&M,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,19,Yes,product stopped working
R0043,C8041,P0551,Accessories,H&M,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,4,No,
R0044,C7235,P0599,Beauty,Boat,4,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,19,No,
R0045,C6486,P0264,Accessories,Samsung,5,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,11,No,
R0046,C8099,P0281,Clothing,Boat,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,2,No,
R0047,C1775,P0568,Electronics,Lakme,1,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,10,No,
R0048,C9226,P0834,Electronics,Boat,5,as expected. Loved it!,Satisfied,54:19.1,54:19.1,11,No,
R0049,C4152,P0922,Clothing,Zara,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,16,No,
R0050,C2585,P0106,Beauty,Lakme,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,19,No,
R0051,C4943,P0429,Clothing,H&M,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,11,No,
R0052,C8555,P0874,Home Decor,Nike,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0053,C4073,P0772,Footwear,H&M,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,2,Yes,product stopped working
R0054,C2021,P0250,Beauty,Samsung,4,great quality. Loved it!,Satisfied,54:19.1,54:19.1,5,No,
R0055,C4843,P0184,Accessories,Lakme,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,5,Yes,late delivery
R0056,C8989,P0246,Home Decor,Lakme,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,19,No,
R0057,C7873,P0723,Beauty,Zara,1,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,12,No,
R0058,C6675,P0480,Clothing,Samsung,5,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,18,No,
R0059,C1161,P0647,Clothing,Nike,2,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,4,No,
R0060,C5297,P0384,Clothing,Sony,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,17,Yes,bad packaging
R0061,C1995,P0799,Clothing,Lakme,5,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,10,Yes,product stopped working
R0062,C8629,P0181,Accessories,Lakme,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,6,No,
R0063,C2016,P0613,Home Decor,Zara,2,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0064,C8869,P0996,Electronics,Boat,1,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,No,
R0065,C7439,P0914,Footwear,Puma,1,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,Yes,late delivery
R0066,C8892,P0808,Accessories,Nike,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,18,Yes,not as described
R0067,C7863,P0622,Accessories,H&M,1,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,18,Yes,damaged product
R0068,C8916,P0845,Electronics,Samsung,4,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,11,Yes,late delivery
R0069,C9529,P0485,Electronics,Lakme,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0070,C1878,P0806,Footwear,Lakme,5,as expected. Loved it!,Satisfied,54:19.1,54:19.1,5,No,
R0071,C5887,P0570,Footwear,H&M,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,9,No,
R0072,C5859,P0218,Electronics,Nike,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,9,No,
R0073,C7331,P0495,Clothing,Puma,1,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,10,Yes,missing items
R0074,C9571,P0631,Accessories,Boat,4,great quality. Loved it!,Satisfied,54:19.1,54:19.1,19,No,
R0075,C9684,P0360,Beauty,Lakme,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,1,Yes,product stopped working
R0076,C8208,P0904,Footwear,Puma,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,7,No,
R0077,C6276,P0355,Footwear,Nike,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,4,No,
R0078,C3062,P0833,Electronics,H&M,4,value for money. Loved it!,Satisfied,54:19.1,54:19.1,1,Yes,wrong item delivered
R0079,C1064,P0325,Home Decor,Zara,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,15,Yes,unresponsive support
R0080,C9006,P0152,Beauty,Boat,5,as expected. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0081,C3568,P0966,Beauty,Samsung,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0082,C6463,P0599,Footwear,Lakme,1,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,18,No,
R0083,C3027,P0605,Clothing,Nike,4,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,15,Yes,product stopped working
R0084,C3695,P0953,Home Decor,Zara,5,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,17,Yes,unresponsive support
R0085,C6258,P0463,Beauty,Samsung,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,14,No,
R0086,C6618,P0379,Footwear,Sony,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,14,Yes,missing items
R0087,C7736,P0692,Beauty,Nike,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,18,No,
R0088,C1391,P0813,Home Decor,Nike,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,18,Yes,bad packaging
R0089,C6892,P0257,Home Decor,Samsung,1,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0090,C4561,P0731,Accessories,Zara,1,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,1,Yes,bad packaging
R0091,C7184,P0158,Electronics,Sony,2,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,No,
R0092,C4099,P0826,Electronics,Puma,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,15,No,
R0093,C7278,P0227,Footwear,Puma,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0094,C9392,P0835,Home Decor,H&M,5,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0095,C4104,P0820,Accessories,Zara,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,6,No,
R0096,C8215,P0981,Accessories,Boat,5,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,3,No,
R0097,C3454,P0214,Beauty,Lakme,5,value for money. Loved it!,Satisfied,54:19.1,54:19.1,13,No,
R0098,C9996,P0308,Beauty,Samsung,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,13,No,
R0099,C3731,P0625,Accessories,H&M,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,2,Yes,damaged product
R0100,C9154,P0620,Beauty,Sony,4,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,5,Yes,bad packaging
R0101,C6056,P0651,Home Decor,Samsung,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0102,C9110,P0336,Clothing,Samsung,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,6,Yes,unresponsive support
R0103,C4840,P0380,Home Decor,Zara,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,2,No,
R0104,C2028,P0458,Accessories,Lakme,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,4,No,
R0105,C8385,P0300,Accessories,Boat,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,No,
R0106,C1502,P0857,Home Decor,Puma,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0107,C7910,P0377,Beauty,Nike,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0108,C7938,P0334,Beauty,Nike,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0109,C5488,P0593,Electronics,Samsung,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,11,Yes,product stopped working
R0110,C1206,P0103,Accessories,Puma,1,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,No,
R0111,C6134,P0765,Footwear,Puma,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,8,Yes,not as described
R0112,C6977,P0541,Electronics,Lakme,2,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,Yes,missing items
R0113,C8721,P0128,Beauty,Sony,4,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,16,No,
R0114,C8035,P0208,Home Decor,Sony,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0115,C2484,P0709,Beauty,H&M,1,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,11,No,
R0116,C8858,P0826,Home Decor,Zara,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,7,Yes,not as described
R0117,C1863,P0904,Electronics,Lakme,4,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,16,No,
R0118,C3790,P0174,Accessories,Lakme,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,13,Yes,missing items
R0119,C8408,P0937,Beauty,Zara,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,15,No,
R0120,C9755,P0245,Home Decor,Puma,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0121,C6116,P0227,Accessories,Sony,4,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,9,No,
R0122,C7019,P0952,Footwear,Sony,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,3,No,
R0123,C2757,P0141,Home Decor,Puma,5,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,19,No,
R0124,C8574,P0455,Electronics,Sony,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,5,No,
R0125,C7374,P0140,Footwear,Samsung,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,10,No,
R0126,C7892,P0133,Footwear,Lakme,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0127,C2678,P0116,Clothing,Nike,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,15,No,
R0128,C4242,P0776,Beauty,Zara,5,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0129,C5636,P0252,Home Decor,Sony,5,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,15,No,
R0130,C2059,P0477,Footwear,H&M,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0131,C7668,P0687,Clothing,Sony,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,7,No,
R0132,C4157,P0698,Electronics,Sony,2,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,12,No,
R0133,C6915,P0728,Accessories,Boat,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,17,No,
R0134,C3693,P0973,Home Decor,Samsung,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,Yes,product stopped working
R0135,C4627,P0441,Footwear,Zara,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,10,Yes,bad packaging
R0136,C6450,P0126,Beauty,Boat,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,19,No,
R0137,C2663,P0924,Clothing,Boat,5,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,14,No,
R0138,C6592,P0386,Footwear,H&M,4,value for money. Loved it!,Satisfied,54:19.1,54:19.1,11,Yes,product stopped working
R0139,C8392,P0745,Beauty,Lakme,5,as expected. Loved it!,Satisfied,54:19.1,54:19.1,2,No,
R0140,C2306,P0830,Footwear,H&M,4,great quality. Loved it!,Satisfied,54:19.1,54:19.1,18,Yes,wrong item delivered
R0141,C7776,P0267,Home Decor,Lakme,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,7,No,
R0142,C6864,P0709,Home Decor,Lakme,1,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,12,No,
R0143,C8526,P0367,Home Decor,Zara,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,2,Yes,bad packaging
R0144,C9901,P0848,Electronics,Sony,1,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,18,Yes,unresponsive support
R0145,C6575,P0920,Electronics,Zara,1,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,6,No,
R0146,C6530,P0554,Clothing,Samsung,5,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,10,No,
R0147,C5413,P0784,Home Decor,Lakme,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,15,No,
R0148,C4748,P0500,Beauty,Boat,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,5,No,
R0149,C1663,P0575,Footwear,Sony,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,3,No,
R0150,C2998,P0801,Accessories,Nike,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,5,Yes,late delivery
R0151,C8994,P0733,Beauty,Samsung,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,No,
R0152,C2495,P0657,Electronics,Zara,5,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,8,Yes,missing items
R0153,C4304,P0675,Electronics,H&M,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,No,
R0154,C4763,P0229,Beauty,Samsung,2,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,12,No,
R0155,C6232,P0921,Electronics,Samsung,4,value for money. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0156,C2853,P0462,Home Decor,Sony,5,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,11,Yes,missing items
R0157,C7585,P0804,Clothing,Samsung,4,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,14,No,
R0158,C2291,P0918,Footwear,Samsung,4,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,8,Yes,product stopped working
R0159,C4581,P0792,Clothing,Nike,2,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,10,Yes,product stopped working
R0160,C8554,P0391,Footwear,Puma,4,works perfectly. Loved it!,Satisfied,54:19.1,54:19.1,7,No,
R0161,C8280,P0470,Footwear,H&M,2,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,Yes,bad packaging
R0162,C2636,P0893,Clothing,H&M,1,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,4,No,
R0163,C4696,P0128,Beauty,H&M,5,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,13,Yes,wrong item delivered
R0164,C1698,P0248,Footwear,Lakme,4,as expected. Loved it!,Satisfied,54:19.1,54:19.1,4,No,
R0165,C5737,P0878,Clothing,Boat,2,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,5,No,
R0166,C1854,P0395,Footwear,Puma,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,4,No,
R0167,C9164,P0110,Accessories,H&M,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,18,No,
R0168,C6855,P0611,Beauty,Samsung,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,6,No,
R0169,C8392,P0775,Home Decor,Samsung,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,2,No,
R0170,C7528,P0212,Footwear,H&M,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,11,No,
R0171,C6249,P0286,Accessories,Sony,2,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0172,C6172,P0906,Home Decor,H&M,4,excellent packaging. Loved it!,Satisfied,54:19.1,54:19.1,5,No,
R0173,C2707,P0843,Home Decor,Samsung,2,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,6,No,
R0174,C6791,P0326,Footwear,Lakme,1,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,10,No,
R0175,C6535,P0409,Clothing,Zara,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,No,
R0176,C5931,P0197,Footwear,Zara,1,unresponsive support. Very disappointed.,Unsatisfied,54:19.1,54:19.1,14,No,
R0177,C4510,P0154,Accessories,Puma,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,3,No,
R0178,C1202,P0722,Home Decor,Puma,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,12,Yes,poor quality
R0179,C5218,P0763,Footwear,H&M,5,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,16,Yes,unresponsive support
R0180,C9958,P0857,Clothing,Nike,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,17,No,
R0181,C5389,P0505,Footwear,H&M,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,1,No,
R0182,C3327,P0168,Beauty,Sony,5,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,10,No,
R0183,C9004,P0411,Clothing,H&M,5,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,10,No,
R0184,C3931,P0388,Accessories,Puma,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,2,No,
R0185,C8777,P0861,Home Decor,Zara,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,9,Yes,size mismatch
R0186,C1197,P0647,Footwear,Samsung,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,13,Yes,missing items
R0187,C8125,P0850,Clothing,H&M,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,16,No,
R0188,C2930,P0247,Beauty,Samsung,1,damaged product. Very disappointed.,Unsatisfied,54:19.1,54:19.1,18,No,
R0189,C7287,P0566,Clothing,Samsung,1,damaged product. Very disappointed.,Unsatisfied,54:19.1,54:19.1,19,No,
R0190,C9800,P0838,Electronics,Nike,4,value for money. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0191,C5282,P0343,Beauty,Samsung,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0192,C3511,P0590,Accessories,Zara,1,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0193,C1659,P0948,Home Decor,Lakme,1,damaged product. Very disappointed.,Unsatisfied,54:19.1,54:19.1,15,No,
R0194,C3811,P0606,Accessories,Lakme,2,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,10,Yes,wrong item delivered
R0195,C8098,P0464,Footwear,Boat,2,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,15,No,
R0196,C7546,P0581,Clothing,Sony,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,15,No,
R0197,C2986,P0300,Electronics,H&M,2,missing items. Very disappointed.,Unsatisfied,54:19.1,54:19.1,7,No,
R0198,C9338,P0253,Beauty,Sony,5,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,13,Yes,damaged product
R0199,C3911,P0549,Beauty,Zara,4,highly recommend. Loved it!,Satisfied,54:19.1,54:19.1,17,No,
R0200,C2734,P0600,Clothing,Samsung,4,fits perfectly. Loved it!,Satisfied,54:19.1,54:19.1,9,No,
R0201,C2843,P0172,Electronics,Lakme,1,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,8,No,
R0202,C9680,P0812,Clothing,Sony,3,Average product. Not too bad.,Neutral,54:19.1,54:19.1,18,Yes,late delivery
R0203,C3976,P0395,Footwear,Zara,1,not as described. Very disappointed.,Unsatisfied,54:19.1,54:19.1,13,No,
R0204,C2959,P0116,Accessories,Lakme,2,wrong item delivered. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0205,C6759,P0740,Beauty,Samsung,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,9,No,
R0206,C7694,P0316,Footwear,Sony,2,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,12,No,
R0207,C3385,P0160,Accessories,Lakme,5,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,12,No,
R0208,C5736,P0715,Footwear,H&M,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,6,No,
R0209,C2802,P0141,Electronics,Puma,5,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,19,No,
R0210,C9155,P0124,Beauty,H&M,5,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,7,No,
R0211,C9120,P0138,Clothing,Boat,2,bad packaging. Very disappointed.,Unsatisfied,54:19.1,54:19.1,3,Yes,not as described
R0212,C7616,P0902,Clothing,Boat,2,poor quality. Very disappointed.,Unsatisfied,54:19.1,54:19.1,16,No,
R0213,C6534,P0230,Accessories,Lakme,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,18,Yes,bad packaging
R0214,C5061,P0597,Home Decor,Puma,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,16,No,
R0215,C1262,P0328,Electronics,Zara,5,great quality. Loved it!,Satisfied,54:19.1,54:19.1,7,Yes,missing items
R0216,C7287,P0207,Accessories,H&M,4,fast delivery. Loved it!,Satisfied,54:19.1,54:19.1,4,Yes,poor quality
R0217,C9815,P0271,Home Decor,Zara,5,satisfied with the purchase. Loved it!,Satisfied,54:19.1,54:19.1,8,No,
R0218,C3049,P0534,Footwear,Puma,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,13,No,
R0219,C6423,P0577,Electronics,Zara,4,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,13,No,
R0220,C5548,P0201,Footwear,Puma,1,late delivery. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,Yes,wrong item delivered
R0221,C4108,P0965,Beauty,Lakme,1,size mismatch. Very disappointed.,Unsatisfied,54:19.1,54:19.1,17,No,
R0222,C8158,P0623,Electronics,Zara,3,Average product. Could be better.,Neutral,54:19.1,54:19.1,5,No,
R0223,C8400,P0374,Home Decor,H&M,5,amazing product. Loved it!,Satisfied,54:19.1,54:19.1,6,No,
R0224,C4170,P0712,Beauty,Samsung,2,product stopped working. Very disappointed.,Unsatisfied,54:19.1,54:19.1,19,No,
R0225,C3255,P0143,Clothing,Boat,3,Average product. Okay experience.,Neutral,54:19.1,54:19.1,13,Yes,unresponsive support
R0226,C2154,P0916,Home Decor,Samsung,4,great quality. Loved it!,Satisfied,54:19.1,54:19.1,14,No,
